VEHICLE,DATABASE ENTRY,HASH ID
Audi Quattro 20V - Rally Pack,aud_ur_qua_91_pp2v6,23 4B 9B E9
Audi Quattro 20V - Rally Pack,aud_ur_qua_91_pp2v7,A7 8D 13 DA
Audi Quattro 20V - Rally Pack,aud_ur_qua_91_pp2v8,DD BA A8 48
BMW 1 Series M Coupé - NFS Edition,bmw_1m_cou_11_nfs_e,94 0D 0B 3A
BMW 1 Series M Coupé - Signature Edition,bmw_1m_cou_11_pp_rare_1,01 2E 4B 64
BMW 1 Series M Coupé,bmw_1m_cou_11_pp_stock_1,D1 A3 C1 5E
BMW 1 Series M Coupé,bmw_1m_cou_11_pp_stock_2,42 99 72 9E
BMW 1 Series M Coupé,bmw_1m_cou_11_pp_stock_3,F5 4D 2E 76
BMW 1 Series M Coupé,bmw_1m_cou_11_pp_stock_4,4C 09 7C B1
BMW 1 Series M Coupé,bmw_1m_cou_11_pp_stock_5,CE A8 21 8C
BMW 1 Series M Coupé,bmw_1m_cou_11_pp_stock_6,BE 54 90 14
BMW 1 Series M Coupé,bmw_1m_cou_11_pp_stock_7,24 60 AA CB
BMW 1 Series M Coupé,bmw_1m_cou_11_pp_stock_8,E3 74 BC 1B
BMW 1 Series M Coupé - Style Pack 1,bmw_1m_cou_11_pp1v1,9E 60 30 EB
BMW 1 Series M Coupé - Style Pack 1,bmw_1m_cou_11_pp1v2,13 AF 5B 8A
BMW 1 Series M Coupé - Style Pack 1,bmw_1m_cou_11_pp1v3,46 EC 71 FA
BMW 1 Series M Coupé - Style Pack 1,bmw_1m_cou_11_pp1v4,76 04 BD A4
BMW 1 Series M Coupé - Style Pack 1,bmw_1m_cou_11_pp1v5,86 95 D6 57
BMW 1 Series M Coupé - Style Pack 1,bmw_1m_cou_11_pp1v6,5B D7 E1 AD
BMW 1 Series M Coupé - Style Pack 1,bmw_1m_cou_11_pp1v7,F0 8E 18 D2
BMW 1 Series M Coupé - Style Pack 1,bmw_1m_cou_11_pp1v8,E8 D8 3E ED
BMW 1 Series M Coupé - Style Pack 2,bmw_1m_cou_11_pp2v1,CF A1 75 B1
BMW 1 Series M Coupé - Style Pack 2,bmw_1m_cou_11_pp2v2,1C C4 ED DA
BMW 1 Series M Coupé - Style Pack 2,bmw_1m_cou_11_pp2v3,52 78 B9 36
BMW 1 Series M Coupé - Style Pack 2,bmw_1m_cou_11_pp2v4,9A F8 7B
